date,open,high,low,close,volume
2023-06-15 00:00:00+05:30,5.32,5.58,5.32,5.58,1100
2023-06-16 00:00:00+05:30,5.85,5.85,5.85,5.85,3200
2023-06-19 00:00:00+05:30,6.14,6.14,6.14,6.14,5500
2023-06-20 00:00:00+05:30,6.44,6.44,6.44,6.44,100
2023-06-21 00:00:00+05:30,6.76,6.76,6.76,6.76,1200
2023-06-22 00:00:00+05:30,7.09,7.09,7.09,7.09,700
2023-06-23 00:00:00+05:30,7.44,7.44,7.44,7.44,800
2023-06-26 00:00:00+05:30,7.81,7.81,7.81,7.81,3000
2023-06-27 00:00:00+05:30,8.2,8.2,8.2,8.2,300
2023-06-28 00:00:00+05:30,8.61,8.61,8.61,8.61,5576
2023-06-30 00:00:00+05:30,9.04,9.04,9.04,9.04,300
2023-07-03 00:00:00+05:30,9.49,9.49,9.49,9.49,1160
2023-07-04 00:00:00+05:30,9.96,9.96,9.96,9.96,10000
2023-07-05 00:00:00+05:30,10.45,10.45,10.45,10.45,11310
2023-07-06 00:00:00+05:30,10.65,10.65,10.65,10.65,24436
2023-07-07 00:00:00+05:30,10.86,10.86,10.86,10.86,25050
2023-07-10 00:00:00+05:30,11.07,11.07,11.07,11.07,6645
2023-07-11 00:00:00+05:30,11.29,11.29,11.29,11.29,18750
2023-07-12 00:00:00+05:30,11.51,11.51,11.07,11.51,23852
2023-07-13 00:00:00+05:30,11.74,11.74,11.74,11.74,10803
2023-07-14 00:00:00+05:30,11.97,11.97,11.97,11.97,3705
2023-07-17 00:00:00+05:30,12.2,12.2,11.97,12.2,14105
2023-07-18 00:00:00+05:30,11.96,12.3,11.96,11.96,9293
2023-07-19 00:00:00+05:30,11.73,11.73,11.73,11.73,794
2023-07-20 00:00:00+05:30,11.5,11.5,11.5,11.5,1673
2023-07-21 00:00:00+05:30,11.27,11.27,11.27,11.27,159
2023-07-24 00:00:00+05:30,11.05,11.05,11.05,11.05,427
2023-07-25 00:00:00+05:30,10.83,10.83,10.83,10.83,1040
2023-07-26 00:00:00+05:30,10.62,10.62,10.62,10.62,571
2023-07-27 00:00:00+05:30,10.41,10.41,10.41,10.41,713
2023-07-28 00:00:00+05:30,10.21,10.21,10.21,10.21,1233
2023-07-31 00:00:00+05:30,10.01,10.01,10.01,10.01,113
2023-08-01 00:00:00+05:30,9.81,9.81,9.81,9.81,272
2023-08-02 00:00:00+05:30,9.62,9.62,9.62,9.62,246
2023-08-03 00:00:00+05:30,9.43,9.43,9.43,9.43,214
2023-08-04 00:00:00+05:30,9.25,9.25,9.25,9.25,8411
2023-08-07 00:00:00+05:30,9.25,9.25,9.07,9.07,3663
2023-08-08 00:00:00+05:30,8.89,8.89,8.89,8.89,407
2023-08-09 00:00:00+05:30,8.72,8.72,8.72,8.72,666
2023-08-10 00:00:00+05:30,8.55,8.55,8.55,8.55,346
2023-08-11 00:00:00+05:30,8.38,8.38,8.38,8.38,1060
2023-08-14 00:00:00+05:30,8.22,8.22,8.22,8.22,1313
2023-08-16 00:00:00+05:30,8.06,8.06,8.06,8.06,113
2023-08-17 00:00:00+05:30,7.9,7.9,7.9,7.9,480
2023-08-18 00:00:00+05:30,7.75,7.75,7.75,7.75,203
2023-08-21 00:00:00+05:30,7.6,7.6,7.6,7.6,961
2023-08-22 00:00:00+05:30,7.45,7.45,7.45,7.45,2975
2023-08-23 00:00:00+05:30,7.31,7.31,7.31,7.31,588
2023-08-24 00:00:00+05:30,7.17,7.17,7.17,7.17,671
2023-08-25 00:00:00+05:30,7.03,7.03,7.03,7.03,5244
2023-08-28 00:00:00+05:30,6.89,6.89,6.89,6.89,595
2023-08-29 00:00:00+05:30,6.76,6.76,6.76,6.76,905
2023-08-30 00:00:00+05:30,6.63,6.89,6.63,6.88,812887
2023-08-31 00:00:00+05:30,6.88,7.01,6.75,7.01,234406
2023-09-01 00:00:00+05:30,7.01,7.15,6.87,7.15,68588
2023-09-04 00:00:00+05:30,7.15,7.29,7.15,7.29,38017
2023-09-05 00:00:00+05:30,7.43,7.43,7.35,7.43,26646
2023-09-06 00:00:00+05:30,7.57,7.57,7.31,7.56,61009
2023-09-07 00:00:00+05:30,7.56,7.71,7.43,7.71,29793
2023-09-08 00:00:00+05:30,7.85,7.86,7.6,7.86,24899
2023-09-11 00:00:00+05:30,7.99,8.01,7.71,7.71,18358
2023-09-12 00:00:00+05:30,7.83,7.83,7.56,7.59,8878
2023-09-13 00:00:00+05:30,7.44,7.73,7.44,7.64,19800
2023-09-14 00:00:00+05:30,7.75,7.75,7.49,7.5,17707
2023-09-15 00:00:00+05:30,7.65,7.65,7.35,7.53,12265
2023-09-18 00:00:00+05:30,7.67,7.67,7.38,7.56,4580
2023-09-20 00:00:00+05:30,7.71,7.71,7.41,7.41,4206
