date,open,high,low,close,volume
2020-09-17 00:00:00+05:30,351.0,395.0,351.0,371.0,10973257
2020-09-18 00:00:00+05:30,375.0,380.45,355.55,358.45,1772224
2020-09-21 00:00:00+05:30,355.9,374.4,330.3,349.6,974869
2020-09-22 00:00:00+05:30,348.6,363.0,330.2,354.3,843983
2020-09-23 00:00:00+05:30,355.5,362.0,332.0,352.2,490365
2020-09-24 00:00:00+05:30,344.7,349.0,335.0,337.35,193709
2020-09-25 00:00:00+05:30,341.4,385.8,340.4,363.6,1887809
2020-09-28 00:00:00+05:30,368.95,376.0,364.1,366.65,344990
2020-09-29 00:00:00+05:30,368.95,370.6,348.2,351.35,188959
2020-09-30 00:00:00+05:30,351.0,364.65,344.1,348.8,213716
2020-10-01 00:00:00+05:30,354.45,354.65,340.25,342.65,140939
2020-10-05 00:00:00+05:30,344.0,350.8,339.05,345.05,107631
2020-10-06 00:00:00+05:30,347.4,352.9,343.15,349.8,101951
2020-10-07 00:00:00+05:30,350.5,351.2,343.5,345.25,46170
2020-10-08 00:00:00+05:30,350.0,360.7,348.2,357.3,395990
2020-10-09 00:00:00+05:30,356.8,359.1,350.0,350.75,166375
2020-10-12 00:00:00+05:30,351.05,351.25,342.0,344.4,131199
2020-10-13 00:00:00+05:30,341.1,354.95,341.1,348.2,151452
2020-10-14 00:00:00+05:30,350.75,366.0,347.5,354.25,172794
2020-10-15 00:00:00+05:30,349.7,355.6,339.65,340.6,211298
2020-10-16 00:00:00+05:30,341.7,344.75,323.3,325.3,301368
2020-10-19 00:00:00+05:30,331.85,331.85,321.7,324.45,583044
2020-10-20 00:00:00+05:30,325.0,329.45,322.65,324.55,114228
2020-10-21 00:00:00+05:30,326.95,327.45,317.45,319.3,137584
2020-10-22 00:00:00+05:30,319.5,324.05,318.0,320.4,114499
2020-10-23 00:00:00+05:30,321.9,323.25,318.7,319.85,116256
2020-10-26 00:00:00+05:30,320.5,323.0,315.4,317.1,92016
2020-10-27 00:00:00+05:30,317.5,317.5,307.1,309.2,45959
2020-10-28 00:00:00+05:30,308.6,329.0,308.6,320.25,233066
2020-10-29 00:00:00+05:30,319.0,335.5,312.4,332.1,311325
2020-10-30 00:00:00+05:30,338.45,344.0,322.95,338.8,133206
2020-11-02 00:00:00+05:30,342.0,344.8,335.3,340.45,82739
2020-11-03 00:00:00+05:30,344.8,346.0,333.7,339.15,61704
2020-11-04 00:00:00+05:30,339.5,353.25,338.05,349.9,147036
2020-11-05 00:00:00+05:30,325.2,340.5,285.55,330.35,345332
2020-11-06 00:00:00+05:30,330.1,333.65,324.3,325.9,181403
2020-11-09 00:00:00+05:30,331.0,331.0,321.0,322.0,55114
2020-11-10 00:00:00+05:30,324.95,324.95,311.0,312.1,74659
2020-11-11 00:00:00+05:30,307.0,321.9,307.0,315.6,173730
2020-11-12 00:00:00+05:30,316.25,321.25,316.25,318.45,87218
2020-11-13 00:00:00+05:30,319.8,323.75,317.85,321.3,34056
2020-11-14 00:00:00+05:30,325.0,325.15,322.8,324.45,48313
2020-11-17 00:00:00+05:30,329.0,329.0,323.8,324.7,33030
2020-11-18 00:00:00+05:30,325.0,325.8,321.65,323.35,26701
2020-11-19 00:00:00+05:30,323.55,325.7,317.3,317.95,45459
2020-11-20 00:00:00+05:30,320.0,322.5,317.35,320.3,88567
2020-11-23 00:00:00+05:30,322.0,322.85,314.75,318.5,24147
2020-11-24 00:00:00+05:30,318.15,327.5,318.15,321.15,135278
2020-11-25 00:00:00+05:30,322.5,323.55,317.5,318.15,75562
2020-11-26 00:00:00+05:30,318.0,320.6,310.6,312.05,144192
2020-11-27 00:00:00+05:30,315.8,318.0,312.05,313.8,142043
2020-12-01 00:00:00+05:30,315.9,317.75,314.5,315.95,28792
2020-12-02 00:00:00+05:30,316.85,333.55,316.0,331.4,509294
2020-12-03 00:00:00+05:30,336.9,337.55,325.65,327.25,154253
2020-12-04 00:00:00+05:30,330.0,330.0,324.2,325.5,44937
2020-12-07 00:00:00+05:30,326.5,333.3,324.65,326.4,66550
2020-12-08 00:00:00+05:30,328.95,331.75,313.0,323.65,70306
2020-12-09 00:00:00+05:30,327.0,327.0,321.65,322.7,25675
2020-12-10 00:00:00+05:30,320.25,323.85,320.0,321.05,60859
2020-12-11 00:00:00+05:30,324.0,327.15,321.35,322.6,100067
2020-12-14 00:00:00+05:30,322.0,326.7,320.2,320.85,110834
2020-12-15 00:00:00+05:30,323.95,324.0,320.0,320.8,75803
2020-12-16 00:00:00+05:30,320.0,327.8,320.0,323.55,101822
2020-12-17 00:00:00+05:30,325.0,331.05,322.95,325.0,69292
2020-12-18 00:00:00+05:30,328.0,346.0,327.0,341.7,357513
2020-12-21 00:00:00+05:30,342.15,352.9,310.2,322.2,649254
2020-12-22 00:00:00+05:30,325.5,339.8,315.1,335.8,213824
2020-12-23 00:00:00+05:30,342.0,364.95,338.5,359.05,326769
2020-12-24 00:00:00+05:30,357.7,364.0,342.2,347.15,232493
2020-12-28 00:00:00+05:30,350.0,358.3,347.8,354.8,212009
2020-12-29 00:00:00+05:30,356.45,357.25,346.25,348.25,156756
2020-12-30 00:00:00+05:30,350.7,350.95,340.85,345.0,140143
